Player,Squad,league_name,Pos_clean,role_group,Age,Min,starter_label,age_sq,Gls_per90,Ast_per90,G+A_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,CrdY_per90,CrdR_per90,starter_probability
Lorenzo Colombo,Genoa,Serie A,FW,FW,24.0,1751,1,576.0,0.3076923076923077,0.05128205128205128,0.358974358974359,2.6666666666666665,1.0769230769230769,1.7435897435897436,2.051282051282051,0.05128205128205128,0.5641025641025641,0.05128205128205128,0.46153846153846156,0.05128205128205128,0.0,0.8424959058954024
Cucho,Real Betis,La Liga,FW,FW,26.0,1912,1,676.0,0.37735849056603776,0.14150943396226415,0.5188679245283019,3.160377358490566,0.8018867924528302,0.8962264150943396,1.2264150943396226,0.5660377358490566,0.7547169811320755,0.42452830188679247,0.6132075471698113,0.14150943396226415,0.0,0.9041070645293562
Patrick Cutrone,Parma,Serie A,FW,FW,28.0,888,1,784.0,0.10101010101010101,0.0,0.10101010101010101,2.525252525252525,0.7070707070707071,0.7070707070707071,1.6161616161616161,0.8080808080808081,1.2121212121212122,0.30303030303030304,0.10101010101010101,0.0,0.0,0.5462750860650051
Thijs Dallinga,Bologna,Serie A,FW,FW,25.0,770,0,625.0,0.23255813953488372,0.23255813953488372,0.46511627906976744,2.7906976744186047,0.5813953488372093,2.2093023255813953,1.0465116279069768,0.46511627906976744,0.5813953488372093,0.11627906976744186,0.46511627906976744,0.23255813953488372,0.0,0.47150874981037333
Jonathan David,Juventus,Serie A,FW,FW,26.0,1420,1,676.0,0.3164556962025316,0.2531645569620253,0.5696202531645569,2.2151898734177213,0.9493670886075949,1.3924050632911391,1.2658227848101264,0.4430379746835443,0.5063291139240506,0.37974683544303794,0.4430379746835443,0.0,0.0,0.8752190359392847
Keinan Davis,Udinese,Serie A,FW,FW,28.0,1725,1,784.0,0.46875,0.15625,0.625,2.1875,0.9895833333333334,1.875,2.34375,0.46875,0.15625,0.0,0.20833333333333334,0.20833333333333334,0.0,0.8280190167938399
Liam Delap,Chelsea,Premier League,FW,FW,23.0,783,0,529.0,0.1149425287356322,0.0,0.1149425287356322,3.563218390804598,1.264367816091954,1.9540229885057472,1.6091954022988506,0.2298850574712644,0.6896551724137931,0.1149425287356322,0.3448275862068966,0.2298850574712644,0.0,0.3439068475422386
Ousmane Dembélé,Paris Saint-Germain,Ligue 1,FW,FW,28.0,719,0,784.0,1.0,0.5,1.5,3.75,1.625,0.25,0.25,0.5,5.125,0.0,0.25,0.0,0.0,0.3586486814294345
Ermedin Demirović,Stuttgart,Bundesliga,FW,FW,27.0,1155,1,729.0,0.625,0.15625,0.78125,2.1875,1.09375,2.03125,1.484375,0.625,0.078125,0.15625,0.625,0.3125,0.0,0.8284598818510999
Habib Diallo,Metz,Ligue 1,FW,FW,30.0,1573,1,900.0,0.22857142857142856,0.05714285714285714,0.2857142857142857,1.8857142857142857,0.6857142857142857,1.4285714285714286,1.4857142857142858,0.5142857142857142,0.22857142857142856,0.11428571428571428,0.22857142857142856,0.0,0.0,0.8360076009809405
Bamba Dieng,Lorient,Ligue 1,FW,FW,25.0,685,1,625.0,0.9210526315789475,0.13157894736842105,1.0526315789473684,3.8157894736842106,2.1052631578947367,1.5789473684210527,1.0526315789473684,0.6578947368421053,0.2631578947368421,0.13157894736842105,0.2631578947368421,0.2631578947368421,0.0,0.8105586668855859
Anastasios Douvikas,Como,Serie A,FW,FW,26.0,1610,1,676.0,0.558659217877095,0.0558659217877095,0.6145251396648045,2.6256983240223466,1.229050279329609,1.452513966480447,1.7318435754189945,0.1675977653631285,0.223463687150838,0.223463687150838,0.446927374301676,0.0,0.0,0.9030964680679275
Artem Dovbyk,Roma,Serie A,FW,FW,28.0,390,0,784.0,0.6976744186046512,0.23255813953488372,0.9302325581395349,2.3255813953488373,1.1627906976744187,2.558139534883721,1.3953488372093024,0.9302325581395349,0.23255813953488372,0.0,0.6976744186046512,0.0,0.0,0.3344185457542059
Damion Downs,Hamburger SV,Bundesliga,FW,FW,21.0,478,1,441.0,0.0,0.0,0.0,1.3207547169811322,0.7547169811320755,1.3207547169811322,0.18867924528301888,0.37735849056603776,0.0,0.0,0.37735849056603776,0.0,0.0,0.3559818065450153
Hugo Duro,Valencia,La Liga,FW,FW,26.0,1489,1,676.0,0.48484848484848486,0.0,0.48484848484848486,1.6363636363636365,0.6666666666666666,0.9696969696969697,1.696969696969697,0.30303030303030304,0.0,0.18181818181818182,0.36363636363636365,0.24242424242424243,0.0,0.8562311469347018
Rafiu Durosinmi,Pisa,Serie A,FW,FW,23.0,384,0,529.0,0.23255813953488372,0.23255813953488372,0.46511627906976744,1.3953488372093024,0.6976744186046512,3.0232558139534884,0.46511627906976744,0.6976744186046512,0.0,0.23255813953488372,0.0,0.0,0.23255813953488372,0.3084054350176346
Edin Džeko,Fiorentina,Serie A,FW,FW,40.0,244,0,1600.0,0.0,0.0,0.0,1.4814814814814814,0.37037037037037035,0.7407407407407407,1.8518518518518516,0.0,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.0,0.13618858473886256
Noah Edjouma,Toulouse,Ligue 1,FW,FW,20.0,256,0,400.0,0.0,0.0,0.0,2.857142857142857,1.0714285714285714,1.4285714285714286,1.4285714285714286,0.0,4.285714285714286,1.0714285714285714,1.0714285714285714,0.0,0.0,0.07162079494015551
Odsonne Édouard,Lens,Ligue 1,FW,FW,28.0,1387,1,784.0,0.6493506493506493,0.19480519480519481,0.8441558441558441,2.727272727272727,1.4285714285714286,1.1688311688311688,1.0389610389610389,0.5844155844155844,0.06493506493506493,0.06493506493506493,0.2597402597402597,0.06493506493506493,0.0,0.8939099640745729
Jeff Ekhator,Genoa,Serie A,FW,FW,19.0,630,0,361.0,0.2857142857142857,0.0,0.2857142857142857,2.142857142857143,0.42857142857142855,2.2857142857142856,2.4285714285714284,1.1428571428571428,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.0,0.06965896420102234
Hugo Ekitike,Liverpool,Premier League,FW,FW,23.0,1796,1,529.0,0.55,0.2,0.75,3.25,0.95,1.75,0.6,0.5,0.35,0.2,0.35,0.0,0.0,0.8017095399461803
Anthony Elanga,Newcastle United,Premier League,FW,FW,23.0,1157,0,529.0,0.0,0.07751937984496124,0.07751937984496124,1.0852713178294573,0.31007751937984496,0.5426356589147286,1.4728682170542635,0.15503875968992248,5.9689922480620154,0.23255813953488372,0.7751937984496123,0.0,0.0,0.10847984651856683
Breel Embolo,Rennes,Ligue 1,FW,FW,29.0,1387,1,841.0,0.38961038961038963,0.19480519480519481,0.5844155844155844,1.4935064935064934,0.7142857142857143,2.4025974025974026,2.727272727272727,0.7792207792207793,0.2597402597402597,0.2597402597402597,0.6493506493506493,0.19480519480519481,0.0,0.7974827854041697
Emanuel Emegha,Strasbourg,Ligue 1,FW,FW,23.0,414,1,529.0,0.8695652173913044,0.4347826086956522,1.3043478260869565,3.4782608695652177,1.7391304347826089,2.173913043478261,1.956521739130435,0.6521739130434783,0.0,0.0,0.0,0.6521739130434783,0.0,0.4920020726771623
Emersonn,Toulouse,Ligue 1,FW,FW,21.0,1182,1,441.0,0.22900763358778625,0.15267175572519084,0.3816793893129771,3.1297709923664123,1.0687022900763359,2.4427480916030535,0.6106870229007634,0.3053435114503817,0.5343511450381679,0.3816793893129771,0.4580152671755725,0.3053435114503817,0.07633587786259542,0.4865287525131481
Endrick,Lyon,Ligue 1,FW,FW,19.0,611,1,361.0,0.4411764705882353,0.4411764705882353,0.8823529411764706,3.823529411764706,2.3529411764705883,1.1764705882352942,1.911764705882353,0.4411764705882353,2.6470588235294117,0.29411764705882354,0.4411764705882353,0.29411764705882354,0.14705882352941177,0.18182835084036433
Carlos Espí,Levante,La Liga,FW,FW,20.0,494,0,400.0,0.9090909090909091,0.0,0.9090909090909091,3.272727272727273,2.0,2.5454545454545454,2.5454545454545454,1.0909090909090908,0.0,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.0,0.08679167380017995
