Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Pos_clean,role_group,Player_clean,nation_code,nation_name,league_code,league_name,starts_ratio,minutes_per_appearance,Saves_per90,GA_per90_check
1416,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,33.0,1992.0,24,24,2114,23.5,0,0,0,0,0,0,0,1,0.0,32.0,1.36,112.0,82.0,72.3,4.0,7.0,13.0,6.0,25.0,2.0,1.0,1.0,0.0,0,0,,0.0,0.0,,,88,90.3,88.0,23,0,,0,0.79,18,32,-14,-0.6,0.6,0,1,0,1,6,0,0,0,2,0,GK,GK,donovan leon,gf,GUF,fr,Ligue 1,1.0,88.08333333333333,3.4893617021276597,1.3617021276595744
1453,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,35.0,1990.0,24,24,2158,24.0,0,0,0,0,0,0,3,0,0.0,40.0,1.67,112.0,75.0,67.0,4.0,4.0,16.0,4.0,16.7,3.0,3.0,0.0,0.0,1,0,0.0,0.04,0.0,0.0,,90,95.9,90.0,23,0,,0,0.67,21,41,-20,-0.83,-0.83,3,0,0,0,13,0,0,1,1,0,GK,GK,anthony lopes,pt,POR,fr,Ligue 1,1.0,89.91666666666667,3.125,1.6666666666666667
1464,Pau López,es ESP,GK,Real Betis,es La Liga,31.0,1994.0,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,9.0,1.13,33.0,25.0,72.7,4.0,2.0,2.0,2.0,25.0,1.0,0.0,1.0,0.0,0,0,,0.0,0.0,,,90,28.6,90.0,8,0,,14,1.75,12,9,3,0.37,0.13,1,0,0,0,2,0,0,0,0,0,GK,GK,pau lopez,es,ESP,es,La Liga,1.0,90.0,3.125,1.125
1516,Mike Maignan,fr FRA,GK,Milan,it Serie A,30.0,1995.0,28,28,2485,27.6,0,0,0,0,0,0,3,0,0.0,21.0,0.76,89.0,74.0,80.9,16.0,9.0,3.0,12.0,42.9,7.0,4.0,2.0,1.0,0,0,,0.0,0.0,,,89,95.2,89.0,27,0,,0,2.04,40,21,19,0.69,-2.19,3,0,0,0,6,0,0,1,0,0,GK,GK,mike maignan,fr,FRA,it,Serie A,1.0,88.75,2.681159420289855,0.7608695652173912
1521,Radosław Majecki,pl POL,GK,Brest,fr Ligue 1,26.0,1999.0,10,10,864,9.6,0,0,0,0,0,0,0,1,0.0,18.0,1.87,43.0,26.0,60.5,1.0,4.0,5.0,3.0,30.0,1.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,86,36.9,86.0,9,0,,10,0.7,9,15,-6,-0.62,-0.87,0,1,0,1,1,0,0,0,0,0,GK,GK,radosaw majecki,pl,POL,fr,Ligue 1,1.0,86.4,2.7083333333333335,1.875
1538,Pape Mamadou Sy,sn SEN,GK,Metz,fr Ligue 1,28.0,1997.0,1,1,76,0.8,0,0,0,0,0,0,0,0,0.0,4.0,4.74,8.0,4.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,76,3.2,76.0,0,0,,9,0.0,0,4,-4,-4.74,-3.5,0,0,0,0,1,0,0,0,0,0,GK,GK,pape mamadou sy,sn,SEN,fr,Ligue 1,1.0,76.0,5.0,5.0
1539,Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,25.0,2000.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,10.0,2.0,24.0,16.0,62.5,1.0,0.0,4.0,1.0,20.0,2.0,1.0,1.0,0.0,0,0,,0.0,0.0,,,90,16.7,90.0,5,0,,25,0.6,6,10,-4,-0.8,-1.32,0,0,0,1,1,0,0,0,0,0,GK,GK,giorgi mamardashvili,ge,GEO,eng,Premier League,1.0,90.0,3.2,2.0
1582,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,33.0,1992.0,26,26,2295,25.5,0,0,0,0,0,0,2,0,0.0,29.0,1.14,103.0,75.0,71.8,13.0,5.0,8.0,7.0,26.9,1.0,0.0,1.0,0.0,0,0,,0.0,0.0,,,88,85.0,88.0,25,0,,0,1.69,33,29,4,0.16,0.38,2,0,0,0,15,0,0,0,0,0,GK,GK,emiliano martinez,ar,ARG,eng,Premier League,1.0,88.26923076923077,2.9411764705882355,1.1372549019607843
1584,Josep Martinez,es ESP,GK,Inter,it Serie A,27.0,1998.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,1.0,0.5,5.0,4.0,80.0,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,6.9,90.0,2,0,,23,3.0,4,1,3,1.5,0.06,0,0,0,0,0,0,0,0,0,0,GK,GK,josep martinez,es,ESP,it,Serie A,1.0,90.0,2.0,0.5
1655,Alex Meret,it ITA,GK,Napoli,it Serie A,28.0,1997.0,9,9,810,9.0,0,1,1,0,0,0,1,0,0.11,12.0,1.33,27.0,17.0,63.0,7.0,0.0,2.0,2.0,22.2,2.0,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,31.0,90.0,9,0,,8,2.33,16,12,4,0.44,-0.11,1,0,0,1,1,0,0,0,0,0,GK,GK,alex meret,it,ITA,it,Serie A,1.0,90.0,1.8888888888888888,1.3333333333333333
